,name,birthplace,birth_place
20768,Graham Kendrick,"Blisworth, Northamptonshire, England",
20769,Gorky Park,,
20770,James McMurtry,Fort Worth,
20771,Freddy Quinn,"Hardegg (Niederösterreich)|Niederfladnitz, Austria",
20772,Pretty Boy Floyd,"Adairsville, Georgia",
20773,The Bruisers,"Portsmouth, New Hampshire|Portsmouth, New Hampshire, United States|U.S.",
20774,Steve Stevens,Brooklyn,
20775,Judge,"New York City, United States","New York City, United States"
20776,Lee Sun Hee,,
20777,Kirsty MacColl,Croydon,
20778,Rubby Haddock and Orchesta,,
20779,The Blackbyrds,"Washington, D.C., United States",
20780,Sloppy Seconds,"Indianapolis, Indiana, United States","Indianapolis, Indiana, United States"
20781,Roxanne Shante,"Queens, New York City, New York (state)|New York, U.S.",
20782,Maranatha! Praise Band,,
20783,Anderson Bruford Wakeman Howe,"England, United Kingdom",
20784,David Peaston,,
20785,Killing Time,,
20786,Roch Voisine,Edmundston,
20787,Frankie Beverly,Philadelphia,
20788,Babylon A.D.,"San Francisco, California, United States","San Francisco, California, United States"
20789,Adeva,"Paterson, New Jersey, U.S.",
20790,Gang Starr,"Boston, Massachusetts, U.S.",
20791,Seguridad Social,,
20792,Robert Smith ,,
20793,Simon Barsinister,,
20794,Bolt Thrower,"Coventry, England, UK",
20795,Ella del Rosario,,
20796,Melvins,"Montesano, Washington, U.S.",
20797,Entouch,,
20798,King Kong & D'Jungle Girls,,
20799,Doug E. Fresh & The Get Fresh Crew,Barbados,
20800,Redhead Kingpin,,
20801,Rachel Alejandro,"Manila, Philippines",
20802,Alison Krauss & Union Station,"Decatur, Illinois, U.S.",
20803,Mitch Miller,Rochester,
20804,Aurelio Fierro,,
20805,"Luther ""Snake Boy"" Johnson","Davisboro, Georgia, United States",
20806,Michael Monroe,"Helsinki, Finland",
20807,François Feldman,Paris,
20808,Hossein Yavari,,
20809,Solistiyhtye Suomi,,
20810,Tangier,,
20811,Suzy Bogguss,Aledo,
20812,Amanda Portales,,
20813,Billy Vaughn,"Glasgow, Kentucky, U.S.",
20814,Willie D,Houston,
20815,Strength In Numbers,,
20816,LEE SEUNG HWAN,,
20817,Rómulo Caicedo,,
20818,The Subdudes,"New Orleans, Louisiana",
20819,Wayne Gratz,,
20820,Johnny Mercer & The Pied Pipers,"Savannah, Georgia, U.S.",
20821,Zouk Machine,"Pointe-à-Pitre, Guadeloupe",
20822,Liz Hogue,,
20823,DC Talk,"Lynchburg, Virginia, U.S.",
20824,Ian Moss,Alice Springs,
20825,Pop Will Eat Itself,"Stourbridge, West Midlands (county)|West Midlands, England",
20826,Roberto Lugo,"Kensington, Philadelphia|Kensington, Pennsylvania",
20827,Nitro,,
20828,Guy Lombardo,"London, Ontario|London, Ontario, Canada",
20829,Carter The Unstoppable Sex Machine,,
20830,Imrat Khan,,
20831,NOFX,"Los Angeles, California, U.S.",
20832,Cherie Gil,"Manila, Philippines",
20833,Golden Strings Orchestra,,
20834,Ian McCulloch,Liverpool,
20835,Chitãozinho & Xororó,,
