,name,birthplace,birth_place
35757,Sir Charles Jones,,
35758,Karo's,,
35759,Grupo Flash,,
35760,The Draft,,
35761,Nelson Henriquez,,
35762,Ray Silver,,
35763,Peeping Tom,,
35764,"Drop Dead, Gorgeous","Denver, Colorado, U.S.",
35765,Dance Gavin Dance,"Sacramento, California, U.S.",
35766,Wine-O,,
35767,Hyper,,
35768,The Disco Biscuits,,
35769,Nashville Prime Time,,
35770,Stephen Paulus,Summit,
35771,Miley Cyrus,Franklin,
35772,Sol Seppy,"Wimbledon, London|Wimbledon",
35773,Dirty Wormz,,
35774,John Ottman,San Diego,
35775,Helios,,
35776,Chuy Lizarraga y Su Banda Tierra Sinaloense,,
35777,The Classic Crime,"Seattle, Washington (state)|Washington, US",
35778,John H. Clarke,,
35779,The Steepwater Band,"Chicago, Illinois, US",
35780,Ralphie May,"Chattanooga, Tennessee, United States|U.S.",
35781,Portugal. The Man,"Wasilla, Alaska, United States",
35782,Under The Influence of Giants,,
35783,Ulli Boegershausen,,
35784,Roberta Gambarini,"Turin, Italy",
35785,Lúnasa,,
35786,Sitti,"Manila, Philippines",
35787,Melendi,Oviedo,
35788,The Aggrolites,"Los Angeles, California, United States",
35789,The Party Cats,,
35790,Celph Titled,Tampa,
35791,Daan Junior,,
35792,Tokyo Police Club,"Newmarket, Ontario, Canada",
35793,Jordy,,
35794,Between The Trees,,
35795,Crush 40,,
35796,Wiz Khalifa,Minot,
35797,Wolfgang Fuchs,East Berlin,
35798,Someone Still Loves You Boris Yeltsin,"Springfield, Missouri|Springfield, Missouri",
35799,Vetiver,,
35800,Leeland,"Baytown, Texas|Baytown, Texas, United States","Baytown, Texas|Baytown, Texas, United States"
35801,RBD,"Mexico City, Mexico",
35802,Josh Garrels,"South Bend, Indiana, U.S.",
35803,Aaradhna,"Porirua, Wellington, New Zealand",
35804,Tarkio,,
35805,Bradley Joseph,Bird Island,
35806,The Human Abstract,,
35807,Dj Serenity,,
35808,Shé,,
35809,Decyfer Down,"Morehead City, North Carolina, United States",
35810,Richie Spice,"Saint Andrew Parish, Jamaica",
35811,Aynsley Lister,Leicester,
35812,Mike Whitla,,
35813,Damone,,
35814,Los Amigos de la Sierra,,
35815,Prototype,,
35816,Tim Barry,Richmond,
35817,The Prize Fighter Inferno,"Valley Cottage, New York, United States|USA",
35818,李志,,
35819,Halou,"San Francisco, California",
35820,Ronald Isley,Cincinnati,
35821,Howard Livingston & Mile Marker 24,,
35822,Vega4,"London, England",
35823,Joker Xue,Shanghai,
35824,The Paper Chase,,
35825,"The Warriors, DR.Charles G. Hayes",,
35826,Sandra McCracken,"St. Louis, Missouri, United States",
35827,Stone Senses,,
35828,The Reconstruction,,
35829,Jimmy James,,
35830,Diecast,,
35831,Lil Gangster,,
35832,Jehro,2nd arrondissement of Marseille,
35833,Juice Music,,
35834,Los Creadorez,,
35835,El Cuarteto De Nos,,
35836,Billy Soul Bonds,,
35837,Ojah,,
35838,Papo Maximan,,
35839,Walls of Jericho,,
35840,Jessica Lee Goldyn,"Staten Island, New York (state)|New York, U.S.",
35841,Ho'okoa,,
35842,Deathstars,"Strömstad, Sweden",
35843,Kira Willey,,
35844,BIGBANG,,
35845,V.V.Nikolaenja,,
35846,Rhymefest,"Chicago, Illinois, United States",
35847,Jesse Joyce,,
35848,Bullys Wit Fullys,,
35849,Malene Mortensen,Denmark,
35850,Erin Boheme,"Oshkosh, Wisconsin, U.S.",
35851,Brandtson,"Cleveland, Ohio",
35852,Cadillac Sky,"Fort Worth, Texas, U.S.",
35853,Marty Casey,Chicago,
35854,Brett Bixby,,
35855,Heavens,,
35856,Kollektiv Turmstrasse,,
35857,Harley Poe,,
35858,Xian Zi,,
35859,Skream,London Borough of Bromley,
35860,Unkle Bob,Scotland,
35861,The Hope Conspiracy,"Boston, Massachusetts, U.S.",
35862,Blak Jak,"Decatur, Georgia|Decatur, Georgia (U.S. state)|Georgia, United States",
35863,Marwan Khoury,Amsheet,
35864,Bonka,,
35865,Nero's Day At Disneyland,,
35866,Professor Murder,"New York City, New York (state)|New York, United States",
35867,Banda Do Sul,,
35868,Chetes,"Monterrey, Mexico",
35869,The Outline,,
35870,James Todd,,
35871,Sandi Thom,Banff,
35872,Scott Grooves,,
35873,The Atomic Bitchwax,"Neptune Township, New Jersey|Neptune, New Jersey, United States",
35874,Vybz Kartel,"Kingston, Jamaica",
35875,Rena Jones,United States of America,
35876,Los Angeles Negros Y Germain,,
35877,La Maquinaria Norteña,,
35878,Jeremias,,
35879,Josie Cotton,"Dallas, Texas, United States",
35880,Taylor Hicks,Miramar,
35881,Hardkandy,,
35882,Eric Lindell,San Mateo,
35883,Optimus Rhyme,"Seattle, Washington",
35884,Melleefresh,,
35885,Group 1 Crew,"Orlando, Florida, United States",
35886,Urban Love,,
35887,Kero One,"San Francisco, California",
35888,Ollie Byrd,,
35889,Enter Shikari,"St Albans, Hertfordshire, England, United Kingdom",
35890,Halloween Party Band,,
35891,Voom,,
35892,The Little Willies,United States,
35893,Yuka,,
35894,50 Cent / DJ Whoo Kid,,
35895,Chris Goddard,,
35896,Max Sedgley,"London, England",
35897,Rebel Meets Rebel,,
35898,Pink Noise,,
35899,Ceremony,,
35900,[spunge],,
35901,Basta,Rostov-on-Don,
35902,Cory Branan,Southaven,
35903,Danny Grissett,"Los Angeles, California, U.S.",
35904,DJ Raff,,
35905,Trulla Express,,
35906,K'NAAN,,
35907,The B Foundation,,
35908,Dirty Beatz,,
35909,I Killed The Prom Queen,,
35910,Graveyard BBQ,,
35911,Asobi Seksu,"New York City, New York (state)|New York, United States",
35912,Perry Rotwein,,
35913,Gia Farrell,Suffern,
35914,No Age,"Los Angeles, California, United States",
35915,Fish Go Deep,"County Cork|Cork, Ireland",
35916,Bow Thayer,"Boston, Massachusetts",
35917,Danielle Peck,"Jacksonville, North Carolina|Jacksonville, North Carolina, United States",
35918,Soulkid #1,,
35919,Nikos Vertis,"Gorinchem, Netherlands",
35920,Capdown,"Milton Keynes, England",
35921,Fiorenza-Dowlin,,
35922,La Secta,,
35923,Scubba,,
35924,Extra Golden,,
35925,Bianca Ryan,"Ocean City, New Jersey, U.S.}}",
35926,Man Man,"Philadelphia, Pennsylvania, United States",
35927,London Screen Orchestra,,
35928,Angelspit,"Sydney, Australia",
35929,Sunset Rubdown,"Montreal, Quebec, Canada",
35930,Stat Quo,"Atlanta, Georgia|Atlanta, Georgia (U.S. state)|Georgia, United States|U.S.",
35931,Fabian Kallerdahl Band,,
35932,HoWL,,
35933,Missez,"Canarsie, Brooklyn, New York City|New York, United States",
35934,Stas Mikhaylov,Sochi,
35935,Hybrid,,
35936,Discovery Singers,,
35937,La Leyenda De Servando Montalvo,,
35938,Swing,,
35939,Husalah,,
35940,Mahasti,"Tehran, Iran",
35941,James Hunter,Colchester,
35942,Deserts Chang,Taipei,
35943,Dave Melillo,New Jersey,
35944,Boombox,,
35945,Bodyrox,"London, England",
35946,Bromheads Jacket,"Sheffield, England",
35947,Dave Cleveland,,
35948,Nada,Gabbro,
35949,Flanagan & Allen,,
35950,Particle,,
35951,Carlos Guastavino,Santa Fe,
35952,Evermore Vs. Dirty South,,
35953,Augie March,"Shepparton, Victoria (Australia)|Victoria, Australia",
35954,Rainer Scheurenbrand,,
35955,Delain,"Zwolle, Netherlands",
35956,Katt Williams,"Cincinnati, Ohio, U.S.",
35957,YUI,,
35958,Shaimus,"Boston, Massachusetts",
35959,Fahrenheit,,
35960,Joseito Fernández,,
35961,The Rocky Horror Show Original Cast,,
35962,Christy Nockels,"Fort Worth, Texas|Fort Worth, Texas, U.S.",
35963,Jojo Effect,,
35964,Lisa Kelly,"Dublin, Republic of Ireland|Ireland",
35965,Althea Rene,,
35966,Set Your Goals,,
35967,The Shanghai Restoration Project,,
35968,Ghetto Blaster Ltd.,,
35969,Two Gallants,,
35970,유미,,
35971,Stellar Kart,"Phoenix, Arizona, United States",
35972,Dexateens,,
35973,Liquid Crystal Project,,
35974,Bruce Channel,Jacksonville,
35975,J-Boy,,
35976,Bombay Dub Orchestra,,
35977,Anything,,
35978,Scott Miller & The Commonwealth,,
35979,The Procussions,"Colorado Springs, Colorado",
35980,Musicmusicmusic,,
35981,Nawal Al Zoghbi,"Jal el Dib, Lebanon",
35982,Chryssie Whitehead,,
35983,Albert Zamora Y Talento,,
35984,Disney Studio Musician,,
35985,Muck Sticky,"Memphis, Tennessee",
35986,Marvin Pontiac,,
35987,Frank Turner,Manama,
35988,No Justice,"Stillwater, Oklahoma, United States",
35989,M.A.N.D.Y.,,
35990,Ryan Montbleau,Peabody,
35991,Zombie Girl,,
35992,Solomon Keal,,
35993,Toby Lightman,Camden County,
35994,Vanna,Koprivnica,
35995,Army Of Anyone,,
35996,Nico Stai,,
35997,Jeffrey Schecter,,
35998,MC Lars,"Berkeley, California, United States|U.S.",
35999,Vincy Chan,Hong Kong,
36000,State Radio,"Sherborn, Massachusetts|Sherborn, Massachusetts, United States|U.S.",
36001,Bonito,,
36002,Maneesh de Moor,,
36003,Scar Symmetry,"Avesta (locality)|Avesta, Sweden",
36004,Porta,,
36005,Shimshai,,
36006,Maritime,,
36007,Nuttin' But Stringz,"New York City|New York, U.S.",
36008,Pat Travers and Carmine Appice,,
36009,Supermode,,
36010,Quang Dung,,
36011,Virginia Coalition,"Alexandria, Virginia|Alexandria, Virginia",
36012,Carly Comando,,
36013,Potluck,,
36014,Tony Lucca,Pontiac,
36015,The Classical Jazz Quartet,,
36016,Katie Herzig,California,
36017,Trobar de Morte,,
36018,Micah P. Hinson,Memphis,
36019,JR Writer,,
36020,El Prodigio,,
36021,Archie Bronson Outfit,"London, England",
36022,Faust,,
36023,Morningwood,"New York City, New York (state)|New York, United States",
36024,Hot Buttered Rum,,
36025,Bag of Toys,,
36026,Las Tortuguitas,,
36027,Mr. Bigg,,
36028,R.K.M & Ken-Y,,
36029,Eric Bachmann,"Greensboro, North Carolina, U.S.",
36030,Heidi Blickenstaff,"Fresno, California|Fresno, California",
36031,Philip Lane,Cheltenham,
36032,Joel Plaskett Emergency,,
36033,Twilight Guardians,"Salo, Finland|Salo, Finland",
36034,The Pipettes,"Brighton, England",
36035,Bongmaster inc,,
36036,Diablo Swing Orchestra,Sweden,
36037,Big River Cree,,
36038,Henry Cho,"Knoxville, Tennessee, U.S.",
36039,Chalie Boy,"Hearne, Texas|Houston/Calvert, Texas|Calvert, Texas, United States",
36040,Leopold and His Fiction,,
36041,A-Lin,Kaohsiung,
36042,Androcell,,
36043,Mike Birbiglia,Shrewsbury,
36044,Count Zero,,
36045,Scarlet Room,,
36046,Janelle Monáe,Kansas City,
36047,Henry N. Raymond,,
36048,Lunacreciente,,
36049,Pilot Speed,"Toronto, Ontario, Canada",
36050,Jamie Scott,"Rowtown/Ottershaw, Surrey, United Kingdom",
36051,Dove Brothers,,
36052,The Great TV Crew,,
36053,Orquesta San Vicente,,
36054,Chris Daughtry,Roanoke Rapids,
36055,Sarah Siskind,"North Carolina, U.S.",
36056,Fredrika Stahl,Stockholm,
36057,Agrupación Marilyn,,
36058,La Rocca,,
36059,Alela Diane,Nevada City,
36060,Brightblack Morning Light,"Northern California, United States",
36061,Alison Limerick,"Stepney, London, England",
36062,Anamanaguchi,"New York City, New York (state)|New York, U.S.",
36063,Eilen Jewell,Boise,
36064,Mart'nália,Rio de Janeiro,
36065,The Golden Gospel Singers,,
36066,Brookfield,,
36067,Alice Smith,,
36068,BLO,,
36069,Dread Mar I,,
36070,Wildwood Valley Boys,,
36071,Kimberly and Alberto Rivera,,
36072,Jakob,,
36073,Vayden,,
36074,Atención Atención,"San Juan, Puerto Rico",
36075,The Arrogant Sons Of Bitches,,
36076,Cake Bake Betty,,
36077,Chorus Angelicus and Gaudeamus,,
36078,Metronomy,"Totnes, Devon, England",
36079,Kath Bee,,
36080,The Sound Of Animals Fighting,,
36081,DJ Shredda,,
36082,Staylefish,,
36083,2 Unlimited,"Amsterdam, Netherlands",
36084,Busy Signal,"Saint Ann Parish, Jamaica",
36085,Solas,,
36086,Peter Luts & Dominico,,
36087,Typecast,,
36088,Bermuda Loverz,,
36089,Dolla,,
36090,Waldeck,,
36091,Jeannie Ortega,Bushwick,
36092,Ca$his,,
36093,Pure Essence,"Cincinnati, Ohio|Cincinnati, Ohio, United States",
36094,Dead Celebrity Status,"{{flagicon|Canada}} Greater Sudbury|Sudbury/London, Ontario|London",
36095,Charlie Hall,Birmingham,
36096,Jah Roots,"Springfield, Missouri",
36097,Charlotte D'Amboise,,
36098,The Drips,"Los Angeles, California, United States|USA",
36099,Franky Dee,,
36100,Evermore,,
36101,The Acro-brats,,
36102,Septembre,,
36103,Papas Da Língua,,
36104,Salseando,,
36105,Time Again,"Hollywood, California",
36106,The Blackwater Fever,"Brisbane, Queensland, Australia",
36107,Lisa Lopez,,
36108,Jean Carlos Centeno,"Cabimas, Zulia ",
36109,Juliana Aquino,,
36110,Los Polifaceticos,,
36111,World / Inferno Friendship Society,,
36112,The Marked Men,"Denton, Texas, United States",
36113,Bracewar,,
36114,Consortium,,
36115,Die Marschmusikanten,,
36116,ZPU,,
36117,Golden Ring Ensemble,,
36118,The Faceless,"Encino, Los Angeles|Encino, Los Angeles, California, United States",
36119,Sky Eats Airplane,"Fort Worth, Texas|Fort Worth, Texas, U.S.",
36120,Sweet Thing,,
36121,The Regents,,
36122,Snowden,,
36123,Eskimo Joe,"East Fremantle, Western Australia, Australia",
36124,Las Chicas Roland's,,
36125,Born Ruffians,"Midland, Ontario, Canada",
36126,Professionals,,
36127,The Cambridge Singers,,
36128,Joey Fehrenbach,,
36129,Foy Vance,Bangor,
36130,Claude VonStroke,Detroit,
36131,LAKE,,
36132,Deep Side,,
36133,The Polish Ambassador,"Oakland|Oakland, CA",
36134,After The Burial,,
36135,Los Nuevos Cadetes,,
36136,Kwoon,,
36137,Lunatica,"Suhr, Aargau|Suhr, Switzerland",
36138,Tomasz Stanko Quartet,,
36139,Ello,,
36140,Bedlight for Blue Eyes,New Jersey,
36141,Rocco DeLuca and The Burden,,
36142,SFDK,,
36143,Silent Civilian,"Los Angeles, California, United States",
36144,Annuals,,
36145,Barbarossa,,
36146,Guillemots,,
36147,Hugo Guerrero,,
36148,If These Trees Could Talk,"Akron, Ohio, United States",
36149,"Jerry Goldsmith, Ron Jones",,
36150,Estelares,,
36151,Page France,"Cumberland, MD|Cumberland/Hagerstown, MD|Hagerstown, Maryland, United States",
36152,Jake Shimabukuro,Honolulu,
36153,The Five Americans,,
36154,Accidental President,,
36155,Paula Fuga,,
36156,SPM Bing Grimm,,
36157,Fireflight,"Orlando, Florida",
36158,Gaby,Clamart,
36159,Daniel Bacheler,Buckinghamshire,
36160,Mike Bowling,,
36161,Galinha Pintadinha,,
36162,The Ball Brothers,,
36163,Soul Jazz Express,,
36164,Faith,,
36165,Mexican Institute Of Sound,,
36166,Mike Monday,,
36167,Dudu Tassa,Tel Aviv,
36168,Jolly Jumpers,,
36169,GuruGanesha Singh,,
36170,Lauren Hoffman,"Charlottesville, Virginia, U.S.",
36171,Liu Ying,Longyou County,
36172,Erin O'Donnell,,
36173,DJ Cra-Z,,
36174,"Gocho ""El Lápiz De Platino""",,
36175,Kshitij,,
36176,Boy Kill Boy,"Leytonstone, London, England",
36177,Ricky Naranjo y Los Gamblers,,
36178,Aron Apping,,
36179,James 'PJ' Spraggins,,
36180,Barbie Almalbis,"Roxas City, Capiz, Philippines",
36181,The Last Vegas,"Chicago, Illinois United States",
36182,Swifty McVay,,
36183,The Veer Union,"Vancouver, British Columbia, Canada",
36184,Evol Intent,"Atlanta, Georgia, United States|U.S.",
36185,Moonshine Bandits,"Los Banos, California, United States",
36186,The LaSalles,,
36187,Spank Rock,"Baltimore, Maryland, U.S.",
36188,Jim Noir,Manchester,
36189,Run Kid Run,"Carmi, Illinois|Carmi, Illinois, U.S.",
36190,Kavinsky,"Seine-Saint-Denis, France",
36191,Scott Matthews,Wolverhampton,
36192,Isaac Blackman,,
36193,Trophy Scars,"Morristown, New Jersey",
36194,Oli Silk,"London, UK",
36195,Diego,,
36196,Keith Frank & The Soileau Zydeco Band,,
36197,Hồ Ngọc Hà,"Huế, Vietnam",
36198,Jerry Irby and His Texas Ranchers,,
36199,La Dispute,"Grand Rapids, Michigan, U.S.","Grand Rapids, Michigan, U.S."
36200,Joan As Police Woman,"Norwalk, Connecticut|Norwalk, Connecticut",
36201,Super Crack,,
36202,Josh Strickland,,
36203,Kelly,,
36204,"Franco ""El Gorilla""",,
36205,Kirk Douglas,Amsterdam,
36206,Shaman's Dream,,
36207,Mathew Joseph,,
36208,John Morgan Orquesta,,
36209,Tizzy Bac,,
36210,Los Internacionales Cadetes de Jaime Vera,,
36211,Russell Peters,"Toronto, Ontario, Canada",
36212,Jessy Bulbo,Mexico City,
36213,Rage Attack,,
36214,Shad,,
36215,Roberto Dalla Vecchia,Vicenza,
36216,DJ Andy Garcia,,
36217,deadmau5,Toronto,
36218,Cise Star,,
36219,Villebillies,"Louisville, Kentucky, United States",
36220,Gene Kelly,Pittsburgh,
36221,Kieran Kane,Queens,
36222,Nana,,
36223,Jorn,,
36224,Natiruts,"Brasília, Brazil",
36225,Siddharth,,
36226,Digby Jones,,
36227,La Tropa Loca,,
36228,Giant Panda Guerilla Dub Squad,"Rochester, New York|Rochester, New York (state)|New York, United States",
36229,The Honorary Title,"Brooklyn, New York (state)|New York, United States",
36230,Luminary,,
36231,Mike Schmid,,
36232,Trae & Z-Ro,,
36233,Regina Belle / Steve Cole / George Duke,,
36234,Diego Roots,,
36235,Devics,"Los Angeles, California, United States",
36236,Jonathan King,London,
36237,Psyclon Nine,"San Francisco, California|San Francisco, California, United States",
36238,Gui.tar,,
36239,Mike Vargas,,
36240,2 Eivissa,"Hamburg, Germany",
36241,Forro In The Dark,,
36242,DJ Suketu,,
36243,Super Lamas,,
36244,Manuel Murillo,,
36245,Dub Trio,"Brooklyn, New York City, New York (state)|New York, United States",
36246,Mike Fleetwood,,
36247,SEGA SOUND TEAM,,
36248,Punchline,,
36249,Johnta Austin,,
36250,Rebelution,"Isla Vista, California, United States","Isla Vista, California, United States"
36251,Los Dos Gilbertos,,
36252,Ali & Gipp,"Mecca, Hijaz, Arabia",
36253,Patty Ryan,"Wuppertal, West Germany",
36254,Bohemia,,
36255,Gayatri Mantra,,
36256,Michelle Featherstone,Chester,
36257,Moka Only,Langford,
36258,Ellen Allien,"West Berlin, West Germany",
36259,Alfred Brendel,Loučná nad Desnou,
36260,Bengala,,
36261,Paulina Rojas,,
36262,Los Toros,,
36263,Krish,,
36264,Kim Taylor,Florida,
36265,Hossam Habib,"Cairo, Egypt",
36266,Carole Samaha,"Beirut, Lebanon",
36267,DJ Ramon Zerano,,
36268,Gina Rene,,
36269,BulletProof Messenger,"Long Island, New York, United States|USA",
36270,John Barnes Chance,Beaumont,
36271,The Quintet of the Hot Club of San Francisco,,
36272,Sido,Berlin,
36273,Craig Toungate,,
36274,Liquid Soul,,
36275,Rich Boy,"Mobile, Alabama",
36276,Dem Hoodstarz,,
36277,Ranjith,Balussery,
36278,Claudina Brinn,,
36279,Joshua Leeds,,
36280,David Julyan,Cheltenham,
36281,Russian Circles,"Chicago, Illinois, United States",
36282,Jel,Arlington Heights,
36283,Wheesung,Seoul,
36284,October Fall,"Elk Grove Village, Illinois, U.S.",
36285,Dorian,,
36286,Brenton Brown,Cape Town,
36287,Stolen Babies,"California, United States|USA",
36288,楊培安,,
36289,Ensemble - TARZAN,,
36290,Linda Griner,,
36291,Electric President,"Jacksonville, Florida",
36292,Tamer Hosny,Cairo,
36293,Sondre Lerche and The Faces Down Quartet,,
36294,Lollo Meier,,
36295,Emily Haines & The Soft Skeleton,"New Delhi, India",
36296,Graham Coxon,Rinteln,
36297,Westbound Train,"Boston, Massachusetts, United States",
36298,Jennifer Leitham,,
36299,Goose,,
36300,El Cejas y Su Banda Fuego,,
36301,B. Fleischmann,,
36302,Zion I & the Grouch,"Oakland, California, U.S.",
36303,OSI,,
36304,Mainstay,United States,
36305,the GazettE,,
36306,Evan Yo,Taipei,
36307,Saltillo,,
36308,Tecupae,,
36309,OM,,
36310,DJ Sanj,,
36311,Johnny Klimek,Melbourne,
36312,Subvision,,
36313,Merle Dandridge,"Okinawa Prefecture|Okinawa, Japan",
36314,Jenn Johnson,,
36315,The Autumn Offering,"Daytona Beach, Florida, United States",
36316,Walter Waiters,,
36317,Baby Ranks,"Carolina, Puerto Rico",
36318,Organizacion Acapulco,,
36319,Au Revoir Simone,"Brooklyn, New York (state)|New York, United States",
36320,Julio Elias,,
36321,Rich O'Toole,"Houston, TX, United States",
36322,amiina,"Reykjavík, Iceland",
36323,The Love Doctor,,
36324,Everlife,"Indiana, Pennsylvania",
36325,Marco Barrientos & Joel Contreras,"Mexico City, Mexico",
36326,Lee Newman,,
36327,Luna Blanca,,
36328,Off With Their Heads,,
36329,Aljadaqui,,
36330,Demolition Hammer,"The Bronx, New York (state)|New York, U.S.",
36331,Anna Tsuchiya,"Tokyo, Japan",
36332,TANK 呂建忠,,
36333,"Patti LaBelle, Yolanda Adams and Fantasia Barrino",,
36334,Janna Long,,
36335,Kate Havnevik,Oslo,
36336,Shilts,,
36337,Urgehal,"Hønefoss, Norway",
36338,Mila J,"Los Angeles, California, U.S.",
36339,Nathaniel Bartlett,,
36340,Film School,,
36341,Cyrine Abdel Noor,,
36342,Rising Appalachia,"New Orleans, Louisiana",
36343,Ha Dong-kyun,South Korea,
36344,Dead To Me,,
36345,Dabrye,Ann Arbor,
36346,Catherine Feeny,Philadelphia,
36347,Stonefree,"Marikina|Marikina, Philippines",
36348,Clogs,,
36349,Threat Signal,"Hamilton, Ontario|Hamilton, Ontario, Canada",
36350,Tiga,Montreal,
36351,Lance Allen,,
36352,El Nuevo Ritmo Maravilla,,
36353,"Wiener Akademie, Edoardo Catemario & Martin Haselböck",,
36354,Cicada,,
36355,Common Market,,
36356,Midnight Juggernauts,"Melbourne, Australia",
36357,Grupo Ternura,,
36358,Mia Doi Todd,,
36359,Chihei Hatakeyama,,
36360,ROCK-MEN,,
36361,Mason,Amsterdam,
36362,Dennis Ferrer,The Bronx,
36363,116,,
36364,Pinhani,,
36365,Sasha Dobson,Santa Cruz,
36366,Sweety,Taiwan,
36367,Lucho Bermúdez,El Carmen de Bolívar,
36368,Top Suzara,,
36369,Shareefa,Newark,
36370,Lehmber Hussainpuri,,
36371,Morning Runner,"Reading, Berkshire|Reading, England",
36372,illScarlett,"Clarkson, Mississauga, Ontario, Canada",
36373,Sunrise Avenue,"Helsinki, Finland",
36374,Worship Together Kids,,
36375,The Haggis Horns,,
36376,Ana Victoria,Los Angeles,
36377,Rock Kills Kid,"Los Angeles, California, United States|U.S.",
36378,The Sunshine Underground,"Leeds, England",
36379,Los Tri-O,,
36380,The Royal Scots Dragoon Guards,,
36381,Elisa,Monfalcone,
36382,Greg Giraldo,"The Bronx, New York City, New York (state)|New York, U.S.",
36383,Daniel Luna,,
36384,Peven Everett,,
36385,Banda Vientos De Guanajuato,,
36386,Orson,,
36387,Noiseshaper,"Berlin, Germany",
36388,Kitty Cleveland,,
36389,Anti-Funky,,
36390,Tattoo Colour,,
36391,Daylight Dies,"Asheville, North Carolina, United States",
36392,Amrinder Gill,,
36393,Guns Up!,,
36394,Bruthal 6,,
36395,Hillsong London,,
36396,The Doodlebops,,
36397,Huddersfield Choral Society,"Huddersfield, West Yorkshire, England",
36398,Seasick Steve,Oakland,
36399,The Sadies,"Toronto, Ontario, Canada",
36400,Malajube,"Montreal, Quebec, Canada",
36401,Sallymacs,,
36402,Silly Wizard,"Edinburgh, Scotland",
36403,Martin Hayes & Dennis Cahill,,
36404,Magna-Fi,"Las Vegas, Nevada|Las Vegas, United States",
36405,Celestial Aeon Project,,
36406,Irving Berlin's White Christmas Broadway Ensemble,,
36407,Banky W.,"New York , United States",
36408,Miguelito,,
36409,Vinnie Pauleone and The Ba Da Bing Orchestra,,
36410,Noel McLoughlin,"Melbourne, Australia",
36411,Armandinho,Lisbon,
36412,Akil Ammar,,
36413,Paul Frees,Chicago,
36414,La Grande De Madrid,,
36415,Dope Stars Inc.,"Rome, Italy",
36416,Rapid Ric,,
36417,Ana Nikolić,"Paraćin, SR Serbia, SFRY|Yugoslavia",
36418,Dosh,,
36419,King Solomon Hill,,
36420,Bitman & Roban,,
36421,Just Jack,"Camden Town, London, England",
36422,Adam Falckenhagen,Leipzig,
36423,Gustavo Cerati / Melero,,
36424,Sophe Lux,,
36425,Franco Simone,Acquarica del Capo,
36426,Angtoria,Sweden,
36427,SE7EN,,
36428,Haluk Levent,"Adana, Turkey",
36429,"Dan Balan, Balan",,
36430,Madsen,,
36431,Isan,,
36432,Teddy Thompson,London,
36433,Djogani,,
36434,Nidji,"Jakarta, Indonesia",
36435,Aaron & Jeoffrey,,
36436,Benyamin Bahadori,Tehran,
36437,Sam Roberts,Brooklyn,
36438,Club des Belugas,,
36439,Kreyol La,,
36440,The Killing Moon,,
36441,Roy Shirley,,
36442,The Vincent Black Shadow,"Vancouver, British Columbia|BC, Canada",
36443,Ken-Y,,
36444,Tamas Wells,Melbourne,
36445,Cibelle,"Sao Paulo, Brazil",
36446,Simbu,,
36447,United States Army Ceremonial Band,,
36448,Kromestar,"London, United Kingdom|U.K.",
36449,Ghoultown,"Dallas, Texas",
36450,Mariinsky Orchestra,,
36451,Antony,,
36452,Tactical Sekt,"United States, Germany, UK",
36453,Karen Marie Garrett,,
36454,Irina Krug,,
36455,Shapeshifter,,
36456,Fox the Fox,,
36457,Osvaldo Farrés,Villa Clara Province,
36458,Flatfoot 56,"Chicago, Illinois",
36459,Groove Da Praia,,
36460,Katie Gray,,
36461,The Tannahill Weavers,"Paisley, Renfrewshire|Paisley, Scotland",
36462,Electric Mary,"Melbourne, Victoria, Australia",
36463,Landon Pigg,Nashville,
36464,Kary Ng,Hong Kong,
36465,Giorgio Consolini,"Bologna, Italy",
36466,Primal Fear,,
36467,Paulo FG,,
36468,Matt Dusk,"Toronto|Toronto, Ontario, Canada",
36469,Juliette & The Licks,,
36470,Sixth Finger,,
36471,Manny Montes,,
36472,Bass Cap,,
36473,Sneaky Sound System,"Sydney, New South Wales, Australia",
36474,Jhonny Rivera,"Pereira, Colombia",
36475,The National Lutheran Choir,,
36476,Steffen Basho-Junghans,Reinsdorf,
36477,Sandwich,,
36478,Acid Reign,"Harrogate, England",
36479,Little Playdates,,
36480,Mimi Ibarra,,
36481,Triosk,"Sydney, New South Wales, Australia",
36482,Julien-K,"Long Beach, California|Long Beach, California, United States",
36483,Kjwan,,
36484,Specialist,,
36485,Jennifer Thomas,,
36486,Natural Black,Georgetown,
36487,Susan Blackwell,,
36488,Los Magallones,,
36489,Clark,Old English,
36490,Mayra Andrade,,
36491,El Topo,,
36492,Culann's Hounds,"San Francisco, California, United States",
36493,maNga,,
36494,Villa Black,,
36495,Florilegium,,
36496,Kari Jobe,Waco,
36497,Alpha Blondy,"Dimbokro, Ivory Coast",
36498,Gandalf,Pressbaum,
36499,Cornmeal,,
36500,Anthony Castelo,,
36501,Henry Raymond Jr.,,
36502,The Egg,,
36503,Insomnium,"Joensuu, Finland",
36504,Royal Bliss,"Salt Lake City, Utah,",
36505,My Brightest Diamond,"New York City, New York (state)|New York, U.S.",
36506,Satyrian,,
36507,Maneva,,
36508,Diddy Featuring Keyshia Cole,,
36509,A2,,
36510,Stephen Sloan,,
36511,Make Good Your Escape,,
36512,Kostas Karafotis,,
36513,Nihal,,
36514,Jack Prybylski,,
36515,Chinese Traditional,,
36516,James Holden,,
36517,Felicia Finley,,
36518,The Black Maria,"Toronto, Ontario, Canada",
36519,Tulla Céilí Band,,
36520,Richard H. Blake,,
36521,Two Man Sound,,
