,name,birthplace
793,Ernst von Dohnányi,NaN
794,Al Caiola,NaN
795,Tasia Verra,NaN
796,Xavier Cugat & His Orchestra,NaN
797,Fernando Valenti,NaN
798,Şadan Adanalı,NaN
799,Jackie Paris,NaN
800,Váso Stamatopoúlou,NaN
801,Eduardo Falú,"El Galpón, Salta"
802,Athanasia Aleksandropoulou,NaN
803,Лев Толстой,NaN
804,Billy May,Pittsburgh
805,Marika Ninou,NaN
806,Radha Jayalakshmi,NaN
807,Трио Меридиан,NaN
808,Lori Holland,NaN
809,Alberto Ginastera,Buenos Aires
810,Jan Brunvand and Ellen Stekert,NaN
811,Alaíde Costa,NaN
812,Coco Schumann,NaN
813,Ernie Wilkins,St. Louis
814,M. S. Rajeswari,NaN
815,Luther Henderson,Kansas City
816,Alex Foster,Oakland
817,Hatzibatron,NaN
818,Wiener Philharmoniker,NaN
819,Pendyala Nageswara Rao,Andhra Pradesh
820,Marie-Claire Alain,NaN
821,Ansamblul M.F.A,NaN
822,Mladenović Rade,NaN
823,Harald Gregor,NaN
824,Giuseppe Tartini,Piran
825,Los cantores de salivana,NaN
826,Maya Kristalinskaya,NaN
827,Gojković Predrag-Cune,NaN
828,Juca Chaves,Rio de Janeiro
829,The Big 3,NaN
830,Anthony Spurgin,NaN
831,Lipušček Janez,NaN
